name,tag,tag_color,time,msg,badge,icon_color,icon_text
新手教程,新手,gray,08:00,欢迎来到班主任晨间大作战！,0,"100,100,120,255",教程
班主任通知群,时间压力,red,08:00,李雪梅: [5条新消息],5,"220,70,70,255",通知
学校通知群,上级压力,orange,08:02,张建国: [3条新消息],3,"230,150,50,255",学校
学生家长群,家校沟通,green,08:01,郑文静(数学老师): 接教育局通知...,3,"7,193,96,255",家长
学生班群,学生管理,blue,08:03,学生A(班长): 今天下午第二节课后...,2,"48,118,255,255",班级
交流群,同事互动,purple,08:06,吴建军: 艺术楼二楼洗手池堵住了...,0,"150,80,200,255",交流
,,,,,,,
示例1-纯历史,内部群,blue,,张三: 我也到 顺便带了咖啡,0,blue,示例1
示例2-等待回复,内部群,blue,,王老师: 改到后天上午十点...,1,green,示例2
示例3-多轮对话,,gray,,客服: 感谢您的咨询...,0,orange,示例3
示例4-分支跳转,,gray,,导演: 准备好了吗？,0,purple,示例4
示例5-关键词分支,,gray,,班长: 周末团建去哪里？,2,teal,示例5
示例6-语气分支,,gray,,[紧急] 服务器即将重启,1,red,示例6
示例7-复合场景,,gray,,老板: 早上好 今天有个重要客户...,3,dark_blue,示例7
示例8-纯语气分支,,gray,,朋友: 听说你最近工作挺忙的 还好吗？,1,green,示例8
示例9-自动输入,,gray,,队长: 准备出发了 大家确认一下装备,1,orange,示例9
功能测试,测试,purple,,系统: ━━━ 功能测试开始 ━━━━,0,yellow,测试
